seed,result,time (seconds)
1,unsolvable,0.741
2,unknown,1.489
3,unknown,1.478
4,unknown,1.272
5,unknown,1.47
6,unknown,1.487
7,unknown,1.387
8,unknown,1.498
9,unknown,1.403
10,unknown,1.343
11,unknown,1.188
12,unknown,1.296
13,unknown,1.48
14,unknown,1.352
15,unsolvable,0.702
16,unknown,1.688
17,unknown,1.473
18,unknown,1.453
19,unknown,1.38
20,unknown,1.254
21,unsolvable,1.381
22,unsolvable,0.919
23,unknown,1.328
24,unknown,1.121
25,unknown,1.53
26,unknown,1.296
27,unknown,1.425
28,unknown,1.421
29,unsolvable,2.548
30,unknown,1.217
31,unknown,1.326
32,unknown,1.241
33,unsolvable,0.529
34,unknown,1.13
35,unknown,1.46
36,unknown,1.258
37,unknown,1.32
38,unknown,1.303
39,unsolvable,0.729
40,unsolvable,0.766
41,unknown,1.71
42,unknown,1.341
43,unsolvable,0.746
44,unknown,1.354
45,unsolvable,2.622
46,unknown,1.295
47,unknown,1.619
48,unknown,1.336
49,unknown,1.29
50,unknown,1.835
51,unsolvable,11.923
52,unknown,1.435
53,unknown,1.406
54,unknown,1.237
55,unknown,1.423
56,unknown,1.633
57,unknown,1.556
58,unknown,1.419
59,unsolvable,6.921
60,unknown,1.46
61,unknown,1.663
62,unknown,1.249
63,unknown,1.656
64,unknown,1.375
65,unknown,1.325
66,unknown,1.543
67,unknown,1.255
68,unknown,1.428
69,unknown,1.519
70,unsolvable,4.295
71,unknown,1.479
72,unknown,1.302
73,unsolvable,7.011
74,unknown,1.325
75,unknown,1.435
76,unknown,1.394
77,unknown,1.473
78,unsolvable,0.961
79,unknown,1.185
80,unknown,1.189
81,unknown,1.327
82,unknown,1.436
83,unknown,1.549
84,unknown,1.593
85,unknown,1.139
86,unknown,1.467
87,unknown,1.814
88,unsolvable,0.695
89,unknown,1.32
90,unknown,1.622
91,unknown,1.469
92,unknown,1.624
93,unsolvable,2.216
94,unknown,2.721
95,unknown,1.25
96,unknown,1.635
97,unknown,1.196
98,unknown,1.367
